Item	C1	C2	C3	C4	C5	C6
1	1	1	0	0	1	1
2	0	0	0	1	0	0
3	0	0	0	1	0	0
4	0	0	1	0	0	0
5	0	0	1	0	0	0
6	0	0	0	1	0	0
7	0	0	0	1	0	0
8	0	1	0	0	0	0
9	1	1	1	1	1	1
10	1	1	0	0	1	1
11	0	1	0	0	0	0
12	0	1	0	0	0	0
13	1	1	0	0	1	1
14	0	1	1	1	1	0
15	1	1	0	0	0	0
16	1	1	0	0	0	0
17	0	0	1	0	0	0
18	1	1	0	0	0	0
19	1	1	0	0	0	0
20	1	1	0	0	0	0
21	1	1	0	0	0	0
22	0	1	1	1	1	0
23	1	1	0	0	0	0
24	0	1	1	1	1	0
25	0	1	0	0	0	0
26	0	0	0	0	1	0
27	1	1	0	1	0	1
28	0	1	0	0	0	1
29	0	0	0	0	1	0
30	1	1	0	1	0	0
31	1	0	0	0	0	0
32	0	1	1	1	1	0
33	0	1	1	1	1	0
34	0	1	1	1	1	0
35	1	1	0	0	0	0
36	1	1	0	1	0	0
37	0	1	1	1	1	0
38	0	1	0	0	0	1
39	1	1	0	0	0	0
40	1	1	1	1	1	1
41	1	1	1	1	1	1
42	1	1	1	1	1	1
43	1	1	1	1	0	0
44	0	1	0	0	1	0
45	1	1	0	0	1	1
46	0	1	0	0	1	0
47	1	1	0	0	1	1
48	1	1	0	0	1	1
49	0	1	0	0	1	0
50	0	1	0	0	1	0
51	1	1	0	0	0	1
52	1	1	0	0	0	0
53	1	1	0	0	0	0
54	0	1	0	0	1	0
55	0	1	0	0	1	0
56	0	1	0	0	1	0
57	0	0	0	0	0	0
58	0	0	0	0	0	0
59	0	0	0	0	0	0
60	0	0	0	0	0	0
61	1	1	0	0	0	1
62	1	1	1	0	0	0
63	1	0	0	0	0	0
64	0	0	0	0	1	0
65	1	1	0	0	0	1
66	0	0	1	0	0	0
67	0	0	0	0	0	0
68	0	0	0	0	0	0
69	1	0	0	0	0	0
70	1	0	1	1	1	1
71	1	1	0	0	1	1
72	0	0	1	0	0	0
73	1	1	0	0	1	1
74	1	1	1	0	1	1
75	0	0	0	0	0	0
76	1	1	0	0	1	1
77	0	1	0	0	0	0
78	0	1	1	0	0	0
79	0	1	1	1	0	0
80	0	1	1	1	1	0
81	1	1	1	1	1	1
82	0	0	0	0	0	0
83	0	0	0	0	0	0
84	1	1	1	1	0	1
85	1	1	0	0	0	1
86	0	1	0	0	0	1
87	0	1	0	0	1	0
88	1	1	0	0	1	1
89	1	0	0	0	0	0
90	1	1	1	1	1	1
91	1	1	1	1	1	1
92	1	1	1	1	1	1
93	1	1	1	1	1	0
94	1	1	0	0	1	1
95	1	1	0	0	0	1
96	0	1	0	1	0	0
97	1	1	0	0	0	1
98	0	0	0	0	0	0
99	1	1	0	0	0	1
100	1	0	0	0	0	0
